SRR594419	GSM1020666	GSE41637
SRR594420	GSM1020667	GSE41637
SRR594421	GSM1020668	GSE41637
SRR594422	GSM1020669	GSE41637
SRR594423	GSM1020670	GSE41637
SRR594424	GSM1020671	GSE41637
SRR594425	GSM1020672	GSE41637
SRR594426	GSM1020673	GSE41637
SRR594427	GSM1020674	GSE41637
SRR594428	GSM1020675	GSE41637
SRR594429	GSM1020676	GSE41637
SRR594430	GSM1020677	GSE41637
SRR594431	GSM1020678	GSE41637
SRR594432	GSM1020679	GSE41637
SRR594433	GSM1020680	GSE41637
SRR594434	GSM1020681	GSE41637
SRR594435	GSM1020682	GSE41637
SRR594436	GSM1020683	GSE41637
SRR594437	GSM1020684	GSE41637
SRR594438	GSM1020685	GSE41637
SRR594439	GSM1020686	GSE41637
SRR594440	GSM1020687	GSE41637
SRR594441	GSM1020688	GSE41637
SRR594442	GSM1020689	GSE41637
SRR594443	GSM1020690	GSE41637
SRR594444	GSM1020691	GSE41637
SRR594445	GSM1020692	GSE41637
SRR616129	GSM1035405	GSE42207
SRR616130	GSM1035405	GSE42207
SRR618534	GSM1039505	GSE42411
SRR618535	GSM1039506	GSE42411
SRR618536	GSM1039507	GSE42411
SRR618537	GSM1039508	GSE42411
SRR618538	GSM1039509	GSE42411
SRR618539	GSM1039510	GSE42411
SRR618540	GSM1039511	GSE42411
SRR618541	GSM1039512	GSE42411
SRR618542	GSM1039513	GSE42411
SRR636875	GSM1055025	GSE43013
SRR636876	GSM1055026	GSE43013
SRR636877	GSM1055027	GSE43013
SRR636925	GSM1055075	GSE43013
SRR636926	GSM1055076	GSE43013
SRR636927	GSM1055077	GSE43013
SRR636970	GSM1055120	GSE43013
SRR636971	GSM1055121	GSE43013
SRR636972	GSM1055122	GSE43013
SRR672467	GSM1077482	GSE44072
SRR672468	GSM1077483	GSE44072
SRR672469	GSM1077484	GSE44072
SRR672470	GSM1077485	GSE44072
SRR672471	GSM1077486	GSE44072
SRR672472	GSM1077487	GSE44072
SRR687070	GSM1079731	GSE44150
SRR687071	GSM1079731	GSE44150
SRR687072	GSM1079732	GSE44150
SRR687073	GSM1079732	GSE44150
SRR741861	GSM1084028	GSE44375
SRR741862	GSM1084028	GSE44375
SRR741863	GSM1084029	GSE44375
SRR741864	GSM1084029	GSE44375
SRR741865	GSM1084030	GSE44375
SRR741866	GSM1084030	GSE44375
SRR741867	GSM1084031	GSE44375
SRR741868	GSM1084031	GSE44375
SRR741869	GSM1084032	GSE44375
SRR741870	GSM1084032	GSE44375
SRR741871	GSM1084033	GSE44375
SRR741872	GSM1084033	GSE44375
SRR741873	GSM1084034	GSE44375
SRR741874	GSM1084034	GSE44375
SRR741875	GSM1084035	GSE44375
SRR741876	GSM1084035	GSE44375
