SRR594437	SRA059960	live	2015-12-09T19:47:12Z	2015-07-22T21:02:37Z	2012-10-17T12:24:17Z	RUN	GEO	public	GSM1020684_r1	SRX196308	SRS369745	SRP016501	1	32262802	2581024160	efb0a6f20633f8c77360cec6892ac600	SAMN01766858	PRJNA177791	-
SRR594438	SRA059960	live	2015-12-09T19:49:12Z	2015-07-22T21:02:37Z	2012-10-17T12:24:17Z	RUN	GEO	public	GSM1020685_r1	SRX196309	SRS369746	SRP016501	1	33871058	2709684640	f24f7eafd9ed0930dd67865603cf90b7	SAMN01766859	PRJNA177791	-
SRR594439	SRA059960	live	2015-12-09T19:45:11Z	2015-07-22T21:02:33Z	2012-10-17T12:24:17Z	RUN	GEO	public	GSM1020686_r1	SRX196310	SRS369747	SRP016501	1	25869367	2069549360	fd01655a4fe09ff46e501be7b58ee550	SAMN01766860	PRJNA177791	-
SRR594440	SRA059960	live	2015-12-09T19:51:11Z	2015-07-22T21:02:37Z	2012-10-17T12:24:17Z	RUN	GEO	public	GSM1020687_r1	SRX196311	SRS369748	SRP016501	1	40114787	3209182960	5f8e0f272971817ddc60ed63db4f5271	SAMN01766861	PRJNA177791	-
SRR594441	SRA059960	live	2015-12-09T19:50:08Z	2015-07-22T21:02:37Z	2012-10-17T12:24:17Z	RUN	GEO	public	GSM1020688_r1	SRX196312	SRS369749	SRP016501	1	42043440	3363475200	859c44d6cb0306f2898748c3e0a535df	SAMN01766862	PRJNA177791	-
SRR594442	SRA059960	live	2015-12-09T19:42:14Z	2015-07-22T21:02:33Z	2012-10-17T12:24:18Z	RUN	GEO	public	GSM1020689_r1	SRX196313	SRS369750	SRP016501	1	20835407	1666832560	eef3bf34851b4bdf0c608b93b6926215	SAMN01766863	PRJNA177791	-
SRR594443	SRA059960	live	2015-12-09T19:50:13Z	2015-07-22T21:02:33Z	2012-10-17T12:24:18Z	RUN	GEO	public	GSM1020690_r1	SRX196314	SRS369751	SRP016501	1	41026885	3282150800	74111efe1bb3eea0c905705293975486	SAMN01766864	PRJNA177791	-
SRR594444	SRA059960	live	2015-12-09T19:48:19Z	2015-07-22T21:02:37Z	2012-10-17T12:24:18Z	RUN	GEO	public	GSM1020691_r1	SRX196315	SRS369752	SRP016501	1	29882026	2390562080	9c57539fc48a8b7e9f2318cb0654a551	SAMN01766865	PRJNA177791	-
SRR594445	SRA059960	live	2015-12-09T19:50:13Z	2015-07-22T21:02:37Z	2012-10-17T12:24:18Z	RUN	GEO	public	GSM1020692_r1	SRX196316	SRS369753	SRP016501	1	40207033	3216562640	e07e4cffc62405cef214dd745a566d5a	SAMN01766866	PRJNA177791	-
SRR616129	SRA061442	live	2015-12-15T03:47:08Z	2015-07-22T21:13:21Z	2012-11-09T18:49:08Z	RUN	GEO	public	GSM1035405_r1	SRX204159	SRS375059	SRP017140	1	34275913	1233932868	30a8320def85e64b7ff439b9acdc240f	SAMN01805512	PRJNA179294	-
SRR616130	SRA061442	live	2015-12-15T03:52:09Z	2015-07-22T21:13:21Z	2012-11-09T18:49:08Z	RUN	GEO	public	GSM1035405_r2	SRX204159	SRS375059	SRP017140	1	35202241	1267280676	e5839d92c7ce08a638f8b74e91618a8f	SAMN01805512	PRJNA179294	-
SRR618534	SRA061827	live	2013-07-30T16:24:39Z	2013-05-14T19:07:13Z	2012-11-20T15:16:04Z	RUN	GEO	public	GSM1039505_r1	SRX205337	SRS376217	SRP017255	1	14438424	1241704464	5528c404c044c25fae5199aab53dbb98	SAMN01817920	PRJNA181346	-
SRR618535	SRA061827	live	2013-07-30T16:24:38Z	2013-05-14T19:07:13Z	2012-11-20T15:16:04Z	RUN	GEO	public	GSM1039506_r1	SRX205338	SRS376218	SRP017255	1	12142801	1529992926	4683437102b557cbf9115c58a3367a40	SAMN01817921	PRJNA181346	-
SRR618536	SRA061827	live	2013-07-30T16:25:14Z	2013-05-14T19:07:13Z	2012-11-20T15:16:04Z	RUN	GEO	public	GSM1039507_r1	SRX205339	SRS376219	SRP017255	1	22447427	2828375802	73ec93f84e836eb5c230a0c14b95b4d2	SAMN01817922	PRJNA181346	-
SRR618537	SRA061827	live	2013-07-30T16:25:45Z	2013-05-14T19:07:13Z	2012-11-20T15:16:04Z	RUN	GEO	public	GSM1039508_r1	SRX205340	SRS376220	SRP017255	1	36702954	3156454044	22dd251497e59884f11961f0b2521d11	SAMN01817923	PRJNA181346	-
SRR618538	SRA061827	live	2013-07-30T16:26:13Z	2013-05-14T19:07:13Z	2012-11-20T15:16:04Z	RUN	GEO	public	GSM1039509_r1	SRX205341	SRS376221	SRP017255	1	38413624	4840116624	57d4147d442d87333227e83f15075db0	SAMN01817924	PRJNA181346	-
SRR618539	SRA061827	live	2013-07-30T16:26:46Z	2013-05-14T19:07:13Z	2012-11-20T15:16:04Z	RUN	GEO	public	GSM1039510_r1	SRX205342	SRS376222	SRP017255	1	50911118	6414800868	690cb682c40f7d59a7a13f9295cb53da	SAMN01817925	PRJNA181346	-
